date,ticker,action,price,reason
2025-04-23 20:01:14,IAU,BUY,63.66,Signal from IBKR
2025-04-23 22:20:44,IAU,BUY,63.66,Signal from IBKR
2025-04-23 22:24:37,IAU,BUY,63.66,Signal from IBKR
2025-04-24 07:16:01,IAU,BUY,62.41,Signal from IBKR
